date,temperature_2m
2024-09-06 00:00:00+00:00,19.689
2024-09-06 01:00:00+00:00,18.939
2024-09-06 02:00:00+00:00,18.139
2024-09-06 03:00:00+00:00,17.639
2024-09-06 04:00:00+00:00,17.539
2024-09-06 05:00:00+00:00,17.689
2024-09-06 06:00:00+00:00,17.789
2024-09-06 07:00:00+00:00,19.8195
2024-09-06 08:00:00+00:00,22.2695
2024-09-06 09:00:00+00:00,24.4195
2024-09-06 10:00:00+00:00,25.869501
2024-09-06 11:00:00+00:00,27.0195
2024-09-06 12:00:00+00:00,27.8195
2024-09-06 13:00:00+00:00,28.2695
2024-09-06 14:00:00+00:00,28.3195
2024-09-06 15:00:00+00:00,28.0695
2024-09-06 16:00:00+00:00,27.369501
2024-09-06 17:00:00+00:00,26.2695
2024-09-06 18:00:00+00:00,25.119501
2024-09-06 19:00:00+00:00,23.869501
2024-09-06 20:00:00+00:00,22.5695
2024-09-06 21:00:00+00:00,21.4195
2024-09-06 22:00:00+00:00,20.5695
2024-09-06 23:00:00+00:00,19.9195
2024-09-07 00:00:00+00:00,19.2695
2024-09-07 01:00:00+00:00,18.619501
2024-09-07 02:00:00+00:00,17.969501
2024-09-07 03:00:00+00:00,17.5195
2024-09-07 04:00:00+00:00,17.1695
2024-09-07 05:00:00+00:00,16.969501
2024-09-07 06:00:00+00:00,17.4195
2024-09-07 07:00:00+00:00,18.8195
2024-09-07 08:00:00+00:00,20.869501
2024-09-07 09:00:00+00:00,22.8195
2024-09-07 10:00:00+00:00,24.619501
2024-09-07 11:00:00+00:00,26.4195
2024-09-07 12:00:00+00:00,27.6695
2024-09-07 13:00:00+00:00,28.2695
2024-09-07 14:00:00+00:00,28.369501
2024-09-07 15:00:00+00:00,28.119501
2024-09-07 16:00:00+00:00,27.469501
2024-09-07 17:00:00+00:00,26.469501
2024-09-07 18:00:00+00:00,25.369501
2024-09-07 19:00:00+00:00,24.1695
2024-09-07 20:00:00+00:00,22.8195
2024-09-07 21:00:00+00:00,21.6695
2024-09-07 22:00:00+00:00,20.8195
2024-09-07 23:00:00+00:00,20.1695
